,French,English
0,histoire,history
1,seulement,only
2,police,police
3,pensais,thought
4,genre,kind
5,mois,month
6,frère,brother
7,laisser,let
8,eux,them
9,ville,city
10,chaque,each
11,parlé,speak
12,arrivé,come
13,devrait,should
14,bébé,baby
15,longtemps,long time
16,pendant,while
17,aucune,any
18,place,square
19,parle,speak
20,compris,understood
21,savais,knew
22,étaient,were
23,attention,Warning
24,voici,here is
25,pourrais,could
26,affaire,case
27,leurs,their
28,corps,body
29,endroit,place
30,yeux,eyes
31,écoute,listen
32,dont,whose
33,trouve,find
34,premier,first
35,perdu,lost
36,main,hand
37,première,first
38,pouvoir,power
39,tiens,here
40,matin,morning
41,tellement,so much
42,point,point
43,suite,after
44,venez,come
45,vers,towards
46,chambre,bedroom
47,mis,placed
48,droit,law
49,aimerais,would like to
50,aujourd'hui,today
51,mari,husband
52,cause,cause
53,enfin,finally
54,espère,hope
55,nouvelle,new
56,dirait,would say
57,terre,Earth
58,donne,given
59,croire,believe
60,chérie,sweetheart
61,gros,large
62,plutôt,rather
63,jouer,to play
64,bureau,office
